date,gold_type,buy_price,sell_price
2026-03-01,Nhẫn 999.9,17700000,18100000
2026-03-01,Vàng Miếng SJC (Loại 10 chỉ),18400000,18700000
2026-03-02,Nhẫn 999.9,17800000,18200000
2026-03-02,Vàng Miếng SJC (Loại 10 chỉ),18550000,18850000
2026-03-03,Nhẫn 999.9,17800000,18200000
2026-03-03,Vàng Miếng SJC (Loại 10 chỉ),18600000,18900000
2026-03-04,Nhẫn 999.9,17400000,17800000
2026-03-04,Vàng Miếng SJC (Loại 10 chỉ),18350000,18650000
2026-03-05,Nhẫn 999.9,17600000,18000000
2026-03-05,Vàng Miếng SJC (Loại 10 chỉ),18100000,18400000
2026-03-06,Nhẫn 999.9,17500000,17900000
2026-03-06,Vàng Miếng SJC (Loại 10 chỉ),18170000,18470000
2026-03-07,Nhẫn 999.9,17400000,17800000
2026-03-07,Vàng Miếng SJC (Loại 10 chỉ),18080000,18380000
2026-03-08,Nhẫn 999.9,17600000,18000000
2026-03-08,Vàng Miếng SJC (Loại 10 chỉ),18200000,18500000
2026-03-09,Nhẫn 999.9,17600000,18000000
2026-03-09,Vàng Miếng SJC (Loại 10 chỉ),18200000,18500000
2026-03-10,Nhẫn 999.9,17500000,17900000
2026-03-10,Vàng Miếng SJC (Loại 10 chỉ),18110000,18410000
2026-03-11,Nhẫn 999.9,17600000,18000000
2026-03-11,Vàng Miếng SJC (Loại 10 chỉ),18310000,18610000
2026-03-12,Nhẫn 999.9,17600000,18000000
2026-03-12,Vàng Miếng SJC (Loại 10 chỉ),18420000,18720000
2026-03-13,Nhẫn 999.9,17500000,17900000
2026-03-13,Vàng Miếng SJC (Loại 10 chỉ),18330000,18630000
2026-03-14,Nhẫn 999.9,17300000,17700000
2026-03-14,Vàng Miếng SJC (Loại 10 chỉ),18180000,18480000
2026-03-15,Nhẫn 999.9,17300000,17700000
2026-03-15,Vàng Miếng SJC (Loại 10 chỉ),17960000,18260000
2026-03-16,Nhẫn 999.9,17200000,17600000
2026-03-16,Vàng Miếng SJC (Loại 10 chỉ),17960000,18260000
2026-03-17,Nhẫn 999.9,17100000,17500000
2026-03-17,Vàng Miếng SJC (Loại 10 chỉ),17960000,18260000
2026-03-18,Nhẫn 999.9,17100000,17500000
2026-03-18,Vàng Miếng SJC (Loại 10 chỉ),17960000,18260000
2026-03-19,Nhẫn 999.9,16600000,17000000
2026-03-19,Vàng Miếng SJC (Loại 10 chỉ),17700000,18000000
2026-03-20,Nhẫn 999.9,16300000,16700000
2026-03-20,Vàng Miếng SJC (Loại 10 chỉ),17250000,17550000
2026-03-21,Nhẫn 999.9,16600000,17000000
2026-03-21,Vàng Miếng SJC (Loại 10 chỉ),17310000,17610000
2026-03-22,Nhẫn 999.9,16300000,16700000
2026-03-22,Vàng Miếng SJC (Loại 10 chỉ),16700000,17000000
2026-03-23,Nhẫn 999.9,16050000,16450000
2026-03-23,Vàng Miếng SJC (Loại 10 chỉ),16700000,17000000
2026-03-24,Nhẫn 999.9,16000000,16400000
2026-03-24,Vàng Miếng SJC (Loại 10 chỉ),16300000,16600000
2026-03-25,Nhẫn 999.9,15900000,16300000
2026-03-25,Vàng Miếng SJC (Loại 10 chỉ),16720000,17020000
2026-03-26,Nhẫn 999.9,16300000,16700000
2026-03-26,Vàng Miếng SJC (Loại 10 chỉ),17050000,17350000
